Country,iso,Year,CountryYear,Total,LTM,STM,Injection,NonUser,high,ReasonNotUsingSI,reason_note,scale,notes,discon_inj,discon_stm,discon_inj_note,discon_stm_note,Country_note,inj_to_si,stm_to_si,nu_to_si,si_bonus,max_siofsc,year_sc,year_si
Afghanistan,4,2019,Afghanistan2019,8929462,290909.8454,827564.8109,335896.5237,7475090.82,0,0.893356322,National,0.6,,0.171,0.1965,,,61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.,0.16,0.08,0.03,0.01,0.4,2022,2025
Afghanistan,4,2020,Afghanistan2020,9244871,314316.468,900238.2711,357274.7399,7673041.521,0,0.893356322,National,0.6,,0.171,0.1965,,,61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.,0.16,0.08,0.03,0.01,0.4,2022,2025
Afghanistan,4,2021,Afghanistan2021,9567677,338659.4513,975621.4296,378517.9124,7874878.207,0,0.893356322,National,0.6,,0.171,0.1965,,,61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.,0.16,0.08,0.03,0.01,0.4,2022,2025
Afghanistan,4,2022,Afghanistan2022,9901753,365985.1412,1060968.533,402256.9348,8072542.391,0,0.893356322,National,0.6,,0.171,0.1965,,,61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.,0.16,0.08,0.03,0.01,0.4,2022,2025
Afghanistan,4,2023,Afghanistan2023,10242298,394163.6303,1147848.544,425247.067,8275038.759,0,0.893356322,National,0.6,,0.171,0.1965,,,61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.,0.16,0.08,0.03,0.01,0.4,2022,2025
Afghanistan,4,2024,Afghanistan2024,10581489,422642.5287,1237289.464,447705.4533,8473851.554,0,0.893356322,National,0.6,,0.171,0.1965,,,61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.,0.16,0.08,0.03,0.01,0.4,2022,2025
Afghanistan,4,2025,Afghanistan2025,10914796,453693.2804,1334282.405,471437.8504,8655382.465,0,0.893356322,National,0.6,,0.171,0.1965,,,61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.,0.16,0.08,0.03,0.01,0.4,2022,2025
Afghanistan,4,2026,Afghanistan2026,11244649,482892.1588,1425589.256,491722.4213,8844445.164,0,0.893356322,National,0.6,,0.171,0.1965,,,61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.,0.16,0.08,0.03,0.01,0.4,2022,2025
Afghanistan,4,2027,Afghanistan2027,11568896,515489.1016,1526326.185,513832.0425,9013248.671,0,0.893356322,National,0.6,,0.171,0.1965,,,61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.,0.16,0.08,0.03,0.01,0.4,2022,2025
Afghanistan,4,2028,Afghanistan2028,11887726,551413.2688,1638637.058,538135.7289,9159539.945,0,0.893356322,National,0.6,,0.171,0.1965,,,61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.,0.16,0.08,0.03,0.01,0.4,2022,2025
Afghanistan,4,2029,Afghanistan2029,12202728,588673.6759,1754563.162,561938.0482,9297553.114,0,0.893356322,National,0.6,,0.171,0.1965,,,61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.,0.16,0.08,0.03,0.01,0.4,2022,2025
Afghanistan,4,2030,Afghanistan2030,12514998,624149.5507,1864989.583,582320.5448,9443538.322,0,0.893356322,National,0.6,,0.171,0.1965,,,61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.,0.16,0.08,0.03,0.01,0.4,2022,2025
Algeria,12,2019,Algeria2019,10920580,243019.1205,3162395.257,15301.59411,7499864.028,0,0.879502731,Regional,0.823333333,regional average,0.4,0.4,"No data, global average","No data, global average","Data on public sector distribution is not available, using regional average.",0.16,0.08,0.05,0.02,0.4,2022,2025
Algeria,12,2020,Algeria2020,10994786,238541.7508,3234642.968,20217.58952,7501383.691,0,0.879502731,Regional,0.823333333,regional average,0.4,0.4,"No data, global average","No data, global average","Data on public sector distribution is not available, using regional average.",0.16,0.08,0.05,0.02,0.4,2022,2025
Algeria,12,2021,Algeria2021,11081389,232334.1975,3287206.948,25226.68816,7536621.166,0,0.879502731,Regional,0.823333333,regional average,0.4,0.4,"No data, global average","No data, global average","Data on public sector distribution is not available, using regional average.",0.16,0.08,0.05,0.02,0.4,2022,2025
Algeria,12,2022,Algeria2022,11190331,225733.3953,3337024.164,30394.92492,7597178.516,0,0.879502731,Regional,0.823333333,regional average,0.4,0.4,"No data, global average","No data, global average","Data on public sector distribution is not available, using regional average.",0.16,0.08,0.05,0.02,0.4,2022,2025
Algeria,12,2023,Algeria2023,11315879,219512.6335,3393386.856,36015.0751,7666964.435,0,0.879502731,Regional,0.823333333,regional average,0.4,0.4,"No data, global average","No data, global average","Data on public sector distribution is not available, using regional average.",0.16,0.08,0.05,0.02,0.4,2022,2025
Algeria,12,2024,Algeria2024,11445878,212517.1676,3439339.014,41794.97988,7752226.839,0,0.879502731,Regional,0.823333333,regional average,0.4,0.4,"No data, global average","No data, global average","Data on public sector distribution is not available, using regional average.",0.16,0.08,0.05,0.02,0.4,2022,2025
Algeria,12,2025,Algeria2025,11573642,204439.6642,3471602.706,47377.57875,7850222.051,0,0.879502731,Regional,0.823333333,regional average,0.4,0.4,"No data, global average","No data, global average","Data on public sector distribution is not available, using regional average.",0.16,0.08,0.05,0.02,0.4,2022,2025
