iso,inj_to_si,stm_to_si,nu_to_si,si_bonus,max_siofsc,year_sc,year_si
4,0.16,0.08,0.03,0.01,0.4,2022,2025
50,0.16,0.08,0.03,0.03,0.4,2022,2025
64,0.16,0.08,0.01,0.03,0.4,2022,2025
68,0.16,0.08,0.02,0.025,0.4,2022,2025
90,0.16,0.08,0.02,0.025,0.4,2022,2025
104,0.16,0.08,0.01,0.03,0.4,2022,2025
108,0.16,0.08,0.01,0.03,0.4,2022,2025
116,0.16,0.08,0.03,0.03,0.4,2022,2025
120,0.16,0.08,0.04,0.02,0.4,2022,2025
140,0.16,0.08,0.05,0.02,0.4,2022,2025
144,0.16,0.08,0.03,0.02,0.4,2022,2025
148,0.16,0.08,0.01,0.03,0.4,2022,2025
174,0.16,0.08,0.02,0.015,0.4,2022,2025
178,0.16,0.08,0.05,0.02,0.4,2022,2025
180,0.16,0.08,0.05,0.02,0.4,2022,2025
204,0.16,0.08,0.04,0.02,0.4,2022,2025
231,0.16,0.08,0.01,0.04,0.4,2022,2025
232,0.16,0.08,0.03,0.02,0.4,2022,2025
262,0.16,0.08,0.03,0.02,0.4,2022,2025
270,0.16,0.08,0.01,0.03,0.4,2022,2025
275,0.16,0.08,0.05,0.02,0.4,2022,2025
288,0.16,0.08,0.02,0.025,0.4,2022,2025
324,0.16,0.08,0.04,0.02,0.4,2022,2025
332,0.16,0.08,0.01,0.04,0.4,2022,2025
340,0.16,0.08,0.02,0.035,0.4,2022,2025
356,0.16,0.08,0.05,0.01,0.4,2022,2025
360,0.16,0.08,0.01,0.03,0.4,2022,2025
368,0.16,0.08,0.04,0.02,0.4,2022,2025
384,0.16,0.08,0.03,0.02,0.4,2022,2025
404,0.16,0.08,0.03,0.01,0.4,2025,2027
408,0.16,0.08,0.04,0.02,0.4,2022,2025
417,0.16,0.08,0.05,0.02,0.4,2022,2025
418,0.16,0.08,0.03,0.02,0.4,2022,2025
426,0.16,0.08,0.05,0.02,0.4,2022,2025
430,0.16,0.08,0.01,0.04,0.4,2022,2025
450,0.16,0.08,0.01,0.03,0.4,2022,2025
454,0.16,0.08,0.03,0.02,0.4,2022,2025
466,0.16,0.08,0.03,0.01,0.4,2022,2025
478,0.16,0.08,0.03,0.02,0.4,2022,2025
496,0.16,0.08,0.05,0.02,0.4,2022,2025
508,0.16,0.08,0.02,0.015,0.4,2022,2025
524,0.16,0.08,0.03,0.02,0.4,2022,2025
558,0.16,0.08,0.01,0.03,0.4,2022,2025
562,0.16,0.08,0.02,0.015,0.4,2022,2025
566,0.16,0.08,0.03,0.03,0.4,2024,2024
586,0.16,0.08,0.04,0.01,0.4,2022,2025
598,0.16,0.08,0.03,0.01,0.4,2022,2025
608,0.16,0.08,0.04,0.03,0.4,2022,2025
624,0.16,0.08,0.05,0.02,0.4,2022,2025
626,0.16,0.08,0.01,0.02,0.4,2022,2025
646,0.16,0.08,0.02,0.015,0.4,2022,2025
678,0.16,0.08,0.04,0.02,0.4,2022,2025
686,0.16,0.08,0.03,0.01,0.4,2019,2020
694,0.16,0.08,0.02,0.025,0.4,2022,2025
704,0.16,0.08,0.05,0.02,0.4,2022,2025
706,0.16,0.08,0.03,0.02,0.4,2022,2025
716,0.16,0.08,0.03,0.02,0.4,2022,2025
728,0.16,0.08,0.03,0.02,0.4,2022,2025
729,0.16,0.08,0.05,0.02,0.4,2022,2025
762,0.16,0.08,0.05,0.02,0.4,2022,2025
768,0.16,0.08,0.03,0.02,0.4,2022,2025
800,0.16,0.08,0.02,0.025,0.4,2019,2022
818,0.16,0.08,0.03,0.01,0.4,2022,2025
834,0.16,0.08,0.03,0.01,0.4,2022,2025
854,0.16,0.08,0.04,0.01,0.4,2019,2022
860,0.16,0.08,0.05,0.02,0.4,2022,2025
887,0.16,0.08,0.04,0.02,0.4,2022,2025
894,0.16,0.08,0.02,0.025,0.4,2022,2025
