"Country","iso","Year","CountryYear","Total","LTM","STM","Injection","NonUser","high","ReasonNotUsingSI","reason_note","scale","notes","discon_inj","discon_stm","discon_inj_note","discon_stm_note","Country_note","inj_to_si","stm_to_si","nu_to_si","si_bonus","max_siofsc","year_sc","year_si"
"Afghanistan",4,2019,"Afghanistan2019",8929462,290909.845387433,827564.810857844,335896.523690392,7475090.82006433,0,0.893356321739635,"National",0.6,,0.171,0.1965,"","","61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.",0.16,0.08,0.03,0.01,0.4,2022,2025
"Afghanistan",4,2020,"Afghanistan2020",9244871,314316.467968728,900238.271050288,357274.739888535,7673041.52109245,0,0.893356321739635,"National",0.6,,0.171,0.1965,"","","61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.",0.16,0.08,0.03,0.01,0.4,2022,2025
"Afghanistan",4,2021,"Afghanistan2021",9567677,338659.45125086,975621.429588031,378517.912429255,7874878.20673185,0,0.893356321739635,"National",0.6,,0.171,0.1965,"","","61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.",0.16,0.08,0.03,0.01,0.4,2022,2025
"Afghanistan",4,2022,"Afghanistan2022",9901753,365985.141207631,1060968.53304345,402256.934777402,8072542.39097152,0,0.893356321739635,"National",0.6,,0.171,0.1965,"","","61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.",0.16,0.08,0.03,0.01,0.4,2022,2025
"Afghanistan",4,2023,"Afghanistan2023",10242298,394163.630320343,1147848.5440462,425247.067032996,8275038.75860047,0,0.893356321739635,"National",0.6,,0.171,0.1965,"","","61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.",0.16,0.08,0.03,0.01,0.4,2022,2025
"Afghanistan",4,2024,"Afghanistan2024",10581489,422642.528666446,1237289.46435079,447705.453343021,8473851.55363974,0,0.893356321739635,"National",0.6,,0.171,0.1965,"","","61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.",0.16,0.08,0.03,0.01,0.4,2022,2025
"Afghanistan",4,2025,"Afghanistan2025",10914796,453693.280446207,1334282.40452051,471437.850359106,8655382.46467417,0,0.893356321739635,"National",0.6,,0.171,0.1965,"","","61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.",0.16,0.08,0.03,0.01,0.4,2022,2025
"Afghanistan",4,2026,"Afghanistan2026",11244649,482892.158795189,1425589.25576388,491722.421330127,8844445.1641108,0,0.893356321739635,"National",0.6,,0.171,0.1965,"","","61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.",0.16,0.08,0.03,0.01,0.4,2022,2025
"Afghanistan",4,2027,"Afghanistan2027",11568896,515489.101571753,1526326.18483515,513832.042527745,9013248.67106536,0,0.893356321739635,"National",0.6,,0.171,0.1965,"","","61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.",0.16,0.08,0.03,0.01,0.4,2022,2025
"Afghanistan",4,2028,"Afghanistan2028",11887726,551413.268821336,1638637.05755492,538135.728924548,9159539.94469919,0,0.893356321739635,"National",0.6,,0.171,0.1965,"","","61.6% of Injectables are from the Public Sector and 16.4% of Public Sector Injectables are from Health Centers and Field Workers.",0.16,0.08,0.03,0.01,0.4,2022,2025
