"Country","iso","Year","CountryYear","Total","LTM","STM","Injection","NonUser"
"Afghanistan",4,"2019","Afghanistan2019",8929470,264196.050091532,891702.811514236,369333.308264423,7404237.83012981
"Afghanistan",4,"2020","Afghanistan2020",9244870,291265.064723068,976515.664299617,388916.446302426,7588172.82467489
"Afghanistan",4,"2021","Afghanistan2021",9567690,319884.397279946,1057469.99769991,404500.741577775,7785834.86344237
"Afghanistan",4,"2022","Afghanistan2022",9901750,352754.875772542,1149213.93108364,421800.21708161,7977980.97606221
"Afghanistan",4,"2023","Afghanistan2023",10242300,385681.989797796,1240734.30150801,436532.984672659,8179350.72402153
"Afghanistan",4,"2024","Afghanistan2024",10581490,420821.328862014,1337656.99870866,450646.33049809,8372365.34193123
"Afghanistan",4,"2025","Afghanistan2025",10914800,459578.254498889,1448848.52345546,466797.686370476,8539575.53567517
"Afghanistan",4,"2026","Afghanistan2026",11244650,499845.526366807,1563942.04781197,480363.96081787,8700498.46500336
"Afghanistan",4,"2027","Afghanistan2027",11568910,541962.873491318,1682204.64611157,492229.689835922,8852512.79056119
"Afghanistan",4,"2028","Afghanistan2028",11887720,586243.709483714,1804214.97626236,502587.437829444,8994673.87642449
"Afghanistan",4,"2029","Afghanistan2029",12202730,630716.589066405,1923509.06641795,509738.570550555,9138765.77396509
"Afghanistan",4,"2030","Afghanistan2030",12515000,676547.611993234,2043289.02307751,514765.364967566,9280397.99996169
"Bangladesh",50,"2019","Bangladesh2019",45732670,3297379.95493612,13147943.1348993,4685706.77048249,24601640.1396821
"Bangladesh",50,"2020","Bangladesh2020",46215600,3416651.48052542,13458287.1087974,4615007.26164584,24725654.1490314
"Bangladesh",50,"2021","Bangladesh2021",46658870,3533777.87912522,13732848.9405027,4526095.00595301,24866148.174419
"Bangladesh",50,"2022","Bangladesh2022",47067550,3657056.56563779,14022265.5241205,4436683.55675819,24951544.3534835
